date,category,quota,price,total_bids,success_bids,population,registration,deregistration,cpi_car,cpi_transport,cpi_petrol,cpi_car_pct_change,cpi_transport_pct_change,cpi_petrol_pct_change,month,bid_quota_ratio,quota_pct_change,price_pct_change,total_bids_pct_change,success_bids_pct_change
2021-04-21,Cat A (Cars up to 1600cc and 97kW),890,49640,1290,883,320521.0,1683.0,1607.0,113.415,106.77,106.498,4.7,2.1,0.2,4,1.449438202247191,0.007927519818799578,0.08859649122807012,0.06435643564356441,0.003409090909090917
2021-05-05,Cat A (Cars up to 1600cc and 97kW),832,48002,1100,803,320168.0,1519.0,1872.0,113.926,107.347,108.045,0.5,0.5,1.5,5,1.3221153846153846,-0.06516853932584266,-0.03299758259468166,-0.1472868217054264,-0.0906002265005662
2021-05-19,Cat A (Cars up to 1600cc and 97kW),835,41801,1209,834,320168.0,1519.0,1872.0,113.926,107.347,108.045,0.5,0.5,1.5,5,1.4479041916167665,0.0036057692307691624,-0.12918211741177454,0.09909090909090912,0.038605230386052236
2021-06-09,Cat A (Cars up to 1600cc and 97kW),858,48510,1439,820,320236.0,1932.0,1864.0,114.639,107.426,109.203,0.6,0.1,1.1,6,1.6771561771561772,0.02754491017964078,0.16049855266620416,0.19023986765922252,-0.016786570743405282
2021-06-23,Cat A (Cars up to 1600cc and 97kW),830,47821,1178,823,320236.0,1932.0,1864.0,114.639,107.426,109.203,0.6,0.1,1.1,6,1.419277108433735,-0.03263403263403264,-0.014203257060399932,-0.1813759555246699,0.003658536585365857
2021-07-07,Cat A (Cars up to 1600cc and 97kW),867,45001,1149,864,320585.0,1598.0,1249.0,113.626,107.386,112.256,-0.9,0.0,2.8,7,1.3252595155709344,0.04457831325301198,-0.05896990861755291,-0.024617996604414216,0.049817739975698716
2021-07-22,Cat A (Cars up to 1600cc and 97kW),836,47010,1240,832,320585.0,1598.0,1249.0,113.626,107.386,112.256,-0.9,0.0,2.8,7,1.4832535885167464,-0.035755478662053086,0.04464345236772527,0.0791993037423846,-0.03703703703703709
2021-08-04,Cat A (Cars up to 1600cc and 97kW),805,45189,1021,804,320580.0,1251.0,1256.0,113.737,107.214,112.399,0.1,-0.2,0.1,8,1.2683229813664596,-0.037081339712918715,-0.038736439055520155,-0.17661290322580647,-0.033653846153846145
2021-08-18,Cat A (Cars up to 1600cc and 97kW),806,46689,1127,806,320580.0,1251.0,1256.0,113.737,107.214,112.399,0.1,-0.2,0.1,8,1.3982630272952854,0.001242236024844745,0.0331939188740622,0.10381978452497553,0.0024875621890547706
2021-09-08,Cat A (Cars up to 1600cc and 97kW),804,47000,1124,790,321025.0,1484.0,1039.0,116.962,108.665,112.562,2.8,1.4,0.1,9,1.3980099502487562,-0.002481389578163795,0.006661097903146285,-0.0026619343389530092,-0.01985111662531014
2021-09-22,Cat A (Cars up to 1600cc and 97kW),803,48000,1040,795,321025.0,1484.0,1039.0,116.962,108.665,112.562,2.8,1.4,0.1,9,1.2951432129514322,-0.0012437810945273853,0.02127659574468077,-0.07473309608540923,0.006329113924050667
2014-02-05,Cat B (Cars above 1600cc or 97kW),360,75300,523,360,280081.0,1105.0,926.0,114.83,102.036,94.412,0.4,0.6,0.0,2,1.4527777777777777,-0.5516811955168119,0.5687500000000001,-0.4971153846153846,-0.5471698113207547
2014-02-19,Cat B (Cars above 1600cc or 97kW),355,78604,519,353,280081.0,1105.0,926.0,114.83,102.036,94.412,0.4,0.6,0.0,2,1.4619718309859155,-0.01388888888888884,0.04387782204515278,-0.007648183556405397,-0.019444444444444486
2014-03-05,Cat B (Cars above 1600cc or 97kW),350,80710,499,337,279927.0,1154.0,1308.0,116.761,102.641,95.497,1.7,0.6,1.1,3,1.4257142857142857,-0.014084507042253502,0.026792529642257312,-0.038535645472061675,-0.04532577903682722
2014-03-19,Cat B (Cars above 1600cc or 97kW),353,82900,524,352,279927.0,1154.0,1308.0,116.761,102.641,95.497,1.7,0.6,1.1,3,1.4844192634560907,0.008571428571428674,0.027134184115970683,0.05010020040080154,0.04451038575667665
2014-04-09,Cat B (Cars above 1600cc or 97kW),363,84504,523,363,279823.0,964.0,1068.0,115.245,102.686,95.919,-1.3,0.0,0.4,4,1.440771349862259,0.028328611898017053,0.019348612786489694,-0.001908396946564861,0.03125
2014-04-23,Cat B (Cars above 1600cc or 97kW),351,75010,486,349,279823.0,964.0,1068.0,115.245,102.686,95.919,-1.3,0.0,0.4,4,1.3846153846153846,-0.03305785123966942,-0.11234971125627191,-0.07074569789674956,-0.038567493112947604
2014-05-07,Cat B (Cars above 1600cc or 97kW),483,70002,778,472,279944.0,1222.0,1101.0,110.33,101.021,96.53,-4.3,-1.6,0.6,5,1.6107660455486543,0.37606837606837606,-0.06676443140914545,0.6008230452674896,0.35243553008595985
2014-05-21,Cat B (Cars above 1600cc or 97kW),484,68103,716,477,279944.0,1222.0,1101.0,110.33,101.021,96.53,-4.3,-1.6,0.6,5,1.4793388429752066,0.0020703933747412417,-0.027127796348675792,-0.07969151670951158,0.010593220338983134
2014-06-04,Cat B (Cars above 1600cc or 97kW),494,67304,807,484,280254.0,1437.0,1127.0,109.561,100.813,96.927,-0.7,-0.2,0.4,6,1.6336032388663968,0.02066115702479343,-0.011732229123533444,0.12709497206703912,0.01467505241090139
2014-06-18,Cat B (Cars above 1600cc or 97kW),490,65700,716,475,280254.0,1437.0,1127.0,109.561,100.813,96.927,-0.7,-0.2,0.4,6,1.4612244897959183,-0.0080971659919028,-0.023832164507310072,-0.11276332094175956,-0.018595041322314043
2014-07-09,Cat B (Cars above 1600cc or 97kW),493,64889,812,491,280349.0,1312.0,1217.0,108.564,100.617,97.415,-0.9,-0.2,0.5,7,1.6470588235294117,0.00612244897959191,-0.012343987823439928,0.13407821229050287,0.03368421052631576
2014-07-23,Cat B (Cars above 1600cc or 97kW),498,65001,850,497,280349.0,1312.0,1217.0,108.564,100.617,97.415,-0.9,-0.2,0.5,7,1.7068273092369477,0.010141987829614507,0.0017260244417389714,0.046798029556650356,0.012219959266802416
2014-08-06,Cat B (Cars above 1600cc or 97kW),507,68689,1090,501,280602.0,1477.0,1224.0,110.938,101.04,95.159,2.2,0.4,-2.3,8,2.1499013806706113,0.01807228915662651,0.05673758865248235,0.2823529411764707,0.008048289738430636
2014-08-20,Cat B (Cars above 1600cc or 97kW),506,72990,1137,502,280602.0,1477.0,1224.0,110.938,101.04,95.159,2.2,0.4,-2.3,8,2.2470355731225298,-0.0019723865877712132,0.06261555707609667,0.0431192660550459,0.001996007984031989
2014-09-03,Cat B (Cars above 1600cc or 97kW),511,73010,909,511,280968.0,1678.0,1312.0,110.623,100.825,94.697,-0.3,-0.2,-0.5,9,1.7788649706457926,0.009881422924901129,0.0002740101383751359,-0.20052770448548818,0.017928286852589626
2014-09-17,Cat B (Cars above 1600cc or 97kW),509,71990,785,507,280968.0,1678.0,1312.0,110.623,100.825,94.697,-0.3,-0.2,-0.5,9,1.5422396856581533,-0.003913894324853229,-0.0139706889467196,-0.13641364136413636,-0.007827788649706457
