bidding_exercise,date,year,category,quota,price,total_bids,success_bids,population,registration,deregistration
February 2018 Second Open Bidding Exercise,2018-02-21,2018,Cat A (Cars up to 1600cc and 97kW),1562,36810,2073,1561,318492.0,2668.0,2458.0
February 2018 First Open Bidding Exercise,2018-02-07,2018,Cat A (Cars up to 1600cc and 97kW),1557,40000,2389,1534,318492.0,2668.0,2458.0
January 2018 Second Open Bidding Exercise,2018-01-17,2018,Cat A (Cars up to 1600cc and 97kW),1713,36890,1938,1708,318282.0,3524.0,3778.0
January 2018 First Open Bidding Exercise,2018-01-04,2018,Cat A (Cars up to 1600cc and 97kW),1693,41400,2264,1693,318282.0,3524.0,3778.0
December 2017 Second Open Bidding Exercise,2017-12-20,2017,Cat A (Cars up to 1600cc and 97kW),1687,38200,1970,1654,318536.0,4369.0,3440.0
December 2017 First Open Bidding Exercise,2017-12-06,2017,Cat A (Cars up to 1600cc and 97kW),1680,42339,2158,1667,318536.0,4369.0,3440.0
November 2017 Second Open Bidding Exercise,2017-11-22,2017,Cat A (Cars up to 1600cc and 97kW),1686,46791,2721,1679,317607.0,3754.0,3371.0
November 2017 First Open Bidding Exercise,2017-11-08,2017,Cat A (Cars up to 1600cc and 97kW),1683,47112,3430,1683,317607.0,3754.0,3371.0
October 2017 Second Open Bidding Exercise,2017-10-19,2017,Cat A (Cars up to 1600cc and 97kW),1815,41617,2391,1809,317224.0,3416.0,3554.0
October 2017 First Open Bidding Exercise,2017-10-04,2017,Cat A (Cars up to 1600cc and 97kW),1829,41761,2808,1827,317224.0,3416.0,3554.0
September 2017 Second Open Bidding Exercise,2017-09-20,2017,Cat A (Cars up to 1600cc and 97kW),1815,42902,3469,1815,317362.0,2775.0,3495.0
September 2017 First Open Bidding Exercise,2017-09-06,2017,Cat A (Cars up to 1600cc and 97kW),1820,36001,2195,1806,317362.0,2775.0,3495.0
August 2017 Second Open Bidding Exercise,2017-08-23,2017,Cat A (Cars up to 1600cc and 97kW),1817,42900,2148,1817,318082.0,3746.0,3720.0
August 2017 First Open Bidding Exercise,2017-08-10,2017,Cat A (Cars up to 1600cc and 97kW),1817,46778,2403,1812,318082.0,3746.0,3720.0
July 2017 Second Open Bidding Exercise,2017-07-19,2017,Cat A (Cars up to 1600cc and 97kW),1907,44002,2389,1905,318056.0,3674.0,3762.0
July 2017 First Open Bidding Exercise,2017-07-05,2017,Cat A (Cars up to 1600cc and 97kW),1904,42801,2296,1902,318056.0,3674.0,3762.0
June 2017 Second Open Bidding Exercise,2017-06-21,2017,Cat A (Cars up to 1600cc and 97kW),1906,42801,2302,1898,318144.0,4189.0,3886.0
June 2017 First Open Bidding Exercise,2017-06-07,2017,Cat A (Cars up to 1600cc and 97kW),1898,45201,2245,1893,318144.0,4189.0,3886.0
May 2017 Second Open Bidding Exercise,2017-05-24,2017,Cat A (Cars up to 1600cc and 97kW),1920,46489,2601,1913,317841.0,4473.0,4074.0
May 2017 First Open Bidding Exercise,2017-05-11,2017,Cat A (Cars up to 1600cc and 97kW),1905,51106,2240,1905,317841.0,4473.0,4074.0
April 2017 Second Open Bidding Exercise,2017-04-26,2017,Cat A (Cars up to 1600cc and 97kW),2052,51600,2442,2030,317442.0,3672.0,3914.0
April 2017 First Open Bidding Exercise,2017-04-12,2017,Cat A (Cars up to 1600cc and 97kW),2068,52000,2486,2061,317442.0,3672.0,3914.0
March 2017 Second Open Bidding Exercise,2017-03-29,2017,Cat A (Cars up to 1600cc and 97kW),2096,51765,2961,2096,317684.0,4666.0,4428.0
March 2017 First Open Bidding Exercise,2017-03-15,2017,Cat A (Cars up to 1600cc and 97kW),2061,50789,3190,2045,317684.0,4666.0,4428.0
February 2017 Second Open Bidding Exercise,2017-02-24,2017,Cat A (Cars up to 1600cc and 97kW),2133,49430,2926,2089,317446.0,3647.0,3588.0
February 2017 First Open Bidding Exercise,2017-02-08,2017,Cat A (Cars up to 1600cc and 97kW),2060,48401,2691,2051,317446.0,3647.0,3588.0
January 2017 Second Open Bidding Exercise,2017-01-18,2017,Cat A (Cars up to 1600cc and 97kW),1846,50889,2437,1766,317387.0,3695.0,4389.0
January 2017 First Open Bidding Exercise,2017-01-05,2017,Cat A (Cars up to 1600cc and 97kW),1877,50101,2260,1870,317387.0,3695.0,4389.0
December 2016 Second Open Bidding Exercise,2016-12-21,2016,Cat A (Cars up to 1600cc and 97kW),1844,49751,2554,1843,318081.0,3735.0,4513.0
December 2016 First Open Bidding Exercise,2016-12-07,2016,Cat A (Cars up to 1600cc and 97kW),1844,48000,2335,1812,318081.0,3735.0,4513.0
November 2016 Second Open Bidding Exercise,2016-11-23,2016,Cat A (Cars up to 1600cc and 97kW),1846,50951,2536,1846,318859.0,3674.0,4463.0
November 2016 First Open Bidding Exercise,2016-11-09,2016,Cat A (Cars up to 1600cc and 97kW),1929,52668,2800,1929,318859.0,3674.0,4463.0
October 2016 Second Open Bidding Exercise,2016-10-19,2016,Cat A (Cars up to 1600cc and 97kW),2023,50991,2584,2021,319648.0,4247.0,4475.0
October 2016 First Open Bidding Exercise,2016-10-05,2016,Cat A (Cars up to 1600cc and 97kW),2064,51507,2938,1979,319648.0,4247.0,4475.0
September 2016 Second Open Bidding Exercise,2016-09-21,2016,Cat A (Cars up to 1600cc and 97kW),2008,50000,2610,1993,319876.0,4486.0,3798.0
September 2016 First Open Bidding Exercise,2016-09-07,2016,Cat A (Cars up to 1600cc and 97kW),2067,51506,2739,2011,319876.0,4486.0,3798.0
August 2016 Second Open Bidding Exercise,2016-08-17,2016,Cat A (Cars up to 1600cc and 97kW),2034,53334,2803,2034,319188.0,4229.0,4027.0
August 2016 First Open Bidding Exercise,2016-08-03,2016,Cat A (Cars up to 1600cc and 97kW),2018,52503,2712,1959,319188.0,4229.0,4027.0
July 2016 Second Open Bidding Exercise,2016-07-20,2016,Cat A (Cars up to 1600cc and 97kW),2272,53000,3195,2246,318986.0,3859.0,4244.0
July 2016 First Open Bidding Exercise,2016-07-07,2016,Cat A (Cars up to 1600cc and 97kW),2222,52301,3194,2212,318986.0,3859.0,4244.0
June 2016 Second Open Bidding Exercise,2016-06-22,2016,Cat A (Cars up to 1600cc and 97kW),2252,55200,3957,2197,319371.0,4847.0,4064.0
June 2016 First Open Bidding Exercise,2016-06-08,2016,Cat A (Cars up to 1600cc and 97kW),2218,53694,4545,2213,319371.0,4847.0,4064.0
May 2016 Second Open Bidding Exercise,2016-05-18,2016,Cat A (Cars up to 1600cc and 97kW),2217,47020,3227,2182,318588.0,4910.0,4493.0
May 2016 First Open Bidding Exercise,2016-05-05,2016,Cat A (Cars up to 1600cc and 97kW),2218,47889,3446,2217,318588.0,4910.0,4493.0
April 2016 Second Open Bidding Exercise,2016-04-20,2016,Cat A (Cars up to 1600cc and 97kW),2062,47300,3327,2061,318171.0,3997.0,4575.0
April 2016 First Open Bidding Exercise,2016-04-06,2016,Cat A (Cars up to 1600cc and 97kW),2105,46009,3719,2103,318171.0,3997.0,4575.0
March 2016 Second Open Bidding Exercise,2016-03-23,2016,Cat A (Cars up to 1600cc and 97kW),2053,45504,3836,2020,318749.0,4124.0,5937.0
March 2016 First Open Bidding Exercise,2016-03-09,2016,Cat A (Cars up to 1600cc and 97kW),2033,45000,3518,1957,318749.0,4124.0,5937.0
February 2016 Second Open Bidding Exercise,2016-02-17,2016,Cat A (Cars up to 1600cc and 97kW),2049,43000,2965,2025,320562.0,3239.0,4105.0
February 2016 First Open Bidding Exercise,2016-02-03,2016,Cat A (Cars up to 1600cc and 97kW),2038,46651,2972,2033,320562.0,3239.0,4105.0
January 2016 Second Open Bidding Exercise,2016-01-20,2016,Cat A (Cars up to 1600cc and 97kW),1659,51301,3437,1638,321428.0,3953.0,4497.0
January 2016 First Open Bidding Exercise,2016-01-06,2016,Cat A (Cars up to 1600cc and 97kW),1659,45002,2013,1649,321428.0,3953.0,4497.0
December 2015 Second Open Bidding Exercise,2015-12-23,2015,Cat A (Cars up to 1600cc and 97kW),1669,54301,1978,1667,321972.0,3676.0,4580.0
December 2015 First Open Bidding Exercise,2015-12-09,2015,Cat A (Cars up to 1600cc and 97kW),1698,56989,2132,1696,321972.0,3676.0,4580.0
November 2015 Second Open Bidding Exercise,2015-11-18,2015,Cat A (Cars up to 1600cc and 97kW),1662,59200,2140,1650,322876.0,3564.0,4216.0
November 2015 First Open Bidding Exercise,2015-11-04,2015,Cat A (Cars up to 1600cc and 97kW),1664,56001,2009,1623,322876.0,3564.0,4216.0
October 2015 Second Open Bidding Exercise,2015-10-21,2015,Cat A (Cars up to 1600cc and 97kW),1690,57301,2229,1684,323528.0,3667.0,4496.0
October 2015 First Open Bidding Exercise,2015-10-07,2015,Cat A (Cars up to 1600cc and 97kW),1687,56001,2210,1679,323528.0,3667.0,4496.0
September 2015 Second Open Bidding Exercise,2015-09-23,2015,Cat A (Cars up to 1600cc and 97kW),1687,55399,2276,1684,324357.0,2811.0,3756.0
September 2015 First Open Bidding Exercise,2015-09-09,2015,Cat A (Cars up to 1600cc and 97kW),1688,57089,2553,1688,324357.0,2811.0,3756.0
August 2015 Second Open Bidding Exercise,2015-08-19,2015,Cat A (Cars up to 1600cc and 97kW),1756,57498,2597,1756,325302.0,2446.0,3252.0
August 2015 First Open Bidding Exercise,2015-08-05,2015,Cat A (Cars up to 1600cc and 97kW),1688,56209,2446,1687,325302.0,2446.0,3252.0
